calculationMode,blackAdvantagePercent,playerName,originalElo,effectiveElo,eloDelta,blackCount,whiteCount,blackWinRatePercent,whiteWinRatePercent,championshipProbabilityPercent,averagePlace,place1Percent,place2Percent,place3Percent,place4Percent,place5Percent,place6Percent,place7Percent,place8Percent,place9Percent,place10Percent,place11Percent,place12Percent,place13Percent,place14Percent,place15Percent,place16Percent
"シミュレーション (200,000回)",70.00,飛,5050,4903,-147,0,8,,61.51,15.25,5.821,15.25,12.25,10.30,8.97,8.10,7.24,6.24,5.56,5.20,4.70,3.96,3.37,3.00,2.53,1.98,1.35
"シミュレーション (200,000回)",70.00,角,5030,4883,-147,0,8,,58.79,12.05,6.418,12.05,10.67,9.57,8.62,8.04,7.38,6.56,6.01,5.70,5.24,4.59,4.08,3.73,3.22,2.62,1.91
"シミュレーション (200,000回)",70.00,玉,5010,4863,-147,0,8,,56.03,9.19,7.079,9.19,8.98,8.51,8.08,7.76,7.32,6.80,6.44,6.21,5.85,5.30,4.87,4.52,4.01,3.46,2.68
"シミュレーション (200,000回)",70.00,金,4990,4843,-147,0,8,,53.22,7.06,7.745,7.06,7.43,7.44,7.34,7.27,7.05,6.81,6.63,6.51,6.25,5.96,5.66,5.36,4.94,4.45,3.83
"シミュレーション (200,000回)",70.00,銀,4970,4823,-147,0,8,,50.40,5.35,8.403,5.35,6.00,6.35,6.56,6.64,6.69,6.71,6.72,6.71,6.59,6.45,6.32,6.16,5.92,5.67,5.16
"シミュレーション (200,000回)",70.00,桂,4950,4803,-147,0,8,,47.57,3.90,9.115,3.90,4.69,5.23,5.63,5.88,6.12,6.40,6.59,6.68,6.77,6.91,7.05,7.10,7.07,7.00,6.98
"シミュレーション (200,000回)",70.00,香,4930,4783,-147,0,8,,44.76,2.86,9.749,2.86,3.62,4.29,4.82,5.17,5.57,6.05,6.38,6.50,6.76,7.17,7.51,7.75,8.07,8.50,8.98
"シミュレーション (200,000回)",70.00,歩,4910,4763,-147,0,8,,41.98,2.01,10.393,2.01,2.75,3.43,4.02,4.40,4.90,5.51,5.92,6.18,6.66,7.39,7.92,8.37,9.04,10.00,11.51
"シミュレーション (200,000回)",70.00,きりん,4890,5037,+147,8,0,58.02,,11.61,6.590,11.61,10.06,9.09,8.33,7.88,7.37,6.68,6.20,5.97,5.52,4.85,4.35,3.97,3.41,2.75,1.97
"シミュレーション (200,000回)",70.00,ぞう,4870,5017,+147,8,0,55.24,,8.97,7.259,8.97,8.42,8.02,7.77,7.57,7.19,6.79,6.51,6.34,6.05,5.55,5.17,4.81,4.33,3.69,2.83
"シミュレーション (200,000回)",70.00,らいおん,4850,4997,+147,8,0,52.43,,6.88,7.900,6.88,7.07,7.05,7.00,6.98,6.91,6.77,6.68,6.63,6.43,6.16,5.91,5.70,5.30,4.68,3.86
"シミュレーション (200,000回)",70.00,いぬ,4830,4977,+147,8,0,49.60,,5.10,8.613,5.10,5.61,5.92,6.19,6.32,6.43,6.59,6.67,6.71,6.73,6.69,6.67,6.56,6.36,6.08,5.38
"シミュレーション (200,000回)",70.00,ねこ,4810,4957,+147,8,0,46.78,,3.76,9.245,3.76,4.45,5.02,5.42,5.65,5.95,6.30,6.56,6.66,6.81,7.02,7.21,7.32,7.44,7.38,7.04
"シミュレーション (200,000回)",70.00,うさぎ,4790,4937,+147,8,0,43.97,,2.75,9.925,2.75,3.48,4.07,4.50,4.81,5.23,5.80,6.19,6.41,6.79,7.34,7.77,8.10,8.51,9.02,9.24
"シミュレーション (200,000回)",70.00,いのしし,4770,4917,+147,8,0,41.21,,1.94,10.563,1.94,2.61,3.23,3.74,4.13,4.67,5.28,5.75,6.05,6.56,7.36,7.97,8.57,9.47,10.59,12.09
"シミュレーション (200,000回)",70.00,ひよこ,4750,4897,+147,8,0,38.49,,1.33,11.182,1.33,1.91,2.49,3.01,3.41,3.98,4.71,5.18,5.54,6.28,7.31,8.16,8.97,10.39,12.15,15.18
