boundaryName,schemaName,rowType,calculationMode,sameEloFirstPlayerWinRatePercent,playerName,group,originalElo,effectiveElo,eloDelta,firstPlayerCount,secondPlayerCount,firstPlayerWinRatePercent,secondPlayerWinRatePercent,groupPlace1ProbabilityPercent,groupPlaceAverage,overallPlace1ProbabilityPercent,overallPlaceAverage,place1Percent,place2Percent,place3Percent,place4Percent,place5Percent,place6Percent,place7Percent,place8Percent,place9Percent,place10Percent,place11Percent,place12Percent,place13Percent,place14Percent,place15Percent,place16Percent
FinalRanking,finalStageFinalRanking,data,本戦専用 厳密計算,51.00,P01,Apex,5160,5153,-7,0,1,,70.70,74.37,2.025,74.37,2.025,74.37,3.66,3.66,3.66,3.66,3.66,3.66,3.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FinalRanking,finalStageFinalRanking,data,本戦専用 厳密計算,51.00,P02,Apex,5140,0,-5140,0,0,,,3.66,4.854,3.66,4.854,3.66,13.76,13.76,13.76,13.76,13.76,13.76,13.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FinalRanking,finalStageFinalRanking,data,本戦専用 厳密計算,51.00,P03,Apex,5120,0,-5120,0,0,,,3.66,4.854,3.66,4.854,3.66,13.76,13.76,13.76,13.76,13.76,13.76,13.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FinalRanking,finalStageFinalRanking,data,本戦専用 厳密計算,51.00,P04,Apex,5100,0,-5100,0,0,,,3.66,4.854,3.66,4.854,3.66,13.76,13.76,13.76,13.76,13.76,13.76,13.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FinalRanking,finalStageFinalRanking,data,本戦専用 厳密計算,51.00,P05,Apex,5080,0,-5080,0,0,,,3.66,4.854,3.66,4.854,3.66,13.76,13.76,13.76,13.76,13.76,13.76,13.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FinalRanking,finalStageFinalRanking,data,本戦専用 厳密計算,51.00,P06,Apex,5060,0,-5060,0,0,,,3.66,4.854,3.66,4.854,3.66,13.76,13.76,13.76,13.76,13.76,13.76,13.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FinalRanking,finalStageFinalRanking,data,本戦専用 厳密計算,51.00,P07,Apex,5040,0,-5040,0,0,,,3.66,4.854,3.66,4.854,3.66,13.76,13.76,13.76,13.76,13.76,13.76,13.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FinalRanking,finalStageFinalRanking,data,本戦専用 厳密計算,51.00,P08,Apex,5020,0,-5020,0,0,,,3.66,4.854,3.66,4.854,3.66,13.76,13.76,13.76,13.76,13.76,13.76,13.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FinalRanking,finalStageFinalRanking,data,本戦専用 厳密計算,51.00,P09,Innov,5000,5007,+7,1,0,29.30,,38.13,3.475,0.00,11.475,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.13,8.84,8.84,8.84,8.84,8.84,8.84,8.84
FinalRanking,finalStageFinalRanking,data,本戦専用 厳密計算,51.00,P10,Innov,4980,0,-4980,0,0,,,8.84,4.646,0.00,12.646,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.84,13.02,13.02,13.02,13.02,13.02,13.02,13.02
FinalRanking,finalStageFinalRanking,data,本戦専用 厳密計算,51.00,P11,Innov,4960,0,-4960,0,0,,,8.84,4.646,0.00,12.646,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.84,13.02,13.02,13.02,13.02,13.02,13.02,13.02
FinalRanking,finalStageFinalRanking,data,本戦専用 厳密計算,51.00,P12,Innov,4940,0,-4940,0,0,,,8.84,4.646,0.00,12.646,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.84,13.02,13.02,13.02,13.02,13.02,13.02,13.02
FinalRanking,finalStageFinalRanking,data,本戦専用 厳密計算,51.00,P13,Innov,4920,0,-4920,0,0,,,8.84,4.646,0.00,12.646,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.84,13.02,13.02,13.02,13.02,13.02,13.02,13.02
FinalRanking,finalStageFinalRanking,data,本戦専用 厳密計算,51.00,P14,Innov,4900,0,-4900,0,0,,,8.84,4.646,0.00,12.646,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.84,13.02,13.02,13.02,13.02,13.02,13.02,13.02
FinalRanking,finalStageFinalRanking,data,本戦専用 厳密計算,51.00,P15,Innov,4880,0,-4880,0,0,,,8.84,4.646,0.00,12.646,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.84,13.02,13.02,13.02,13.02,13.02,13.02,13.02
FinalRanking,finalStageFinalRanking,data,本戦専用 厳密計算,51.00,P16,Innov,4860,0,-4860,0,0,,,8.84,4.646,0.00,12.646,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.84,13.02,13.02,13.02,13.02,13.02,13.02,13.02
