blackAdvantagePercent,spearmanCorrelation,meanAbsoluteRankError,averageTop8Retention,eloTop1OverallTop1ProbabilityPercent,mostPenalizedParticipant,mostPenalizedDelta,mostAdvantagedParticipant,mostAdvantagedDelta
50.00,1.000000,1.384528,8.000000,22.748280,飛,2.454775,ひよこ,-2.452175
55.00,1.000000,1.348428,8.000000,23.827976,飛,2.374100,ひよこ,-2.394475
60.00,1.000000,1.338541,8.000000,24.127220,飛,2.368900,ひよこ,-2.356900
65.00,1.000000,1.325691,8.000000,24.540631,飛,2.337975,ひよこ,-2.326300
70.00,1.000000,1.307931,8.000000,24.906262,飛,2.314525,歩,-2.320150
75.00,1.000000,1.318225,8.000000,25.036530,きりん,2.349125,歩,-2.334725
80.00,1.000000,1.338888,8.000000,25.414673,きりん,2.364450,歩,-2.368150
85.00,1.000000,1.365775,8.000000,25.378798,きりん,2.439575,歩,-2.436375
90.00,1.000000,1.431353,8.000000,24.460756,きりん,2.526075,歩,-2.547225
evaluationMemo,,,,,,,改善案A単独を50から90まで5刻みで確認,
